DLC,Lifetime Weighted DEL,AEP_mean_pwr_per_sd,AEP_max_pwr_per_sd,Variable,Seed-speed weighted DEL,Yaw-seed-speed weighted DEL,Seed-speed-yaw-nocc Weighted DEL,Yaw,Uref,Seed,DEL_individual,Max_individual,Seed weighted DEL,Seed weighted Max,Mean_power
1p2,,15537123.637967782,,,,,,,,,,,,,
1p2,,,16244481.861091174,,,,,,,,,,,,
1p2,,,,RootMxb1_[kN-m],,,18423.652427270146,,,,,,,,
1p2,,,,RootMxb1_[kN-m],,6228.450231735194,18423.652427270146,,,,,,,,
1p2,,,,RootMxb1_[kN-m],6228.450231735192,,,0.0,,,,,,,
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd0,5411.34300693891,3802.4141719683435,5418.518385970519,3925.996499628354,110.97094735845192
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd1,5436.226825073964,3907.569958371014,5418.518385970519,3925.996499628354,112.40794418289619
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd2,5433.41049104295,3854.001975734535,5418.518385970519,3925.996499628354,99.86599889766198
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd3,5417.6403632088695,3781.277498254999,5418.518385970519,3925.996499628354,107.38872099554804
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd4,5416.907762702865,3789.7053488054,5418.518385970519,3925.996499628354,110.42351308470624
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd5,5445.548902788435,3925.996499628354,5418.518385970519,3925.996499628354,104.37219650872368
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd6,5412.076583719591,3826.583718098502,5418.518385970519,3925.996499628354,100.10105548270612
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd7,5414.856810352411,3838.1494822186614,5418.518385970519,3925.996499628354,109.9528756031465
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd8,5429.808657062493,3817.6213431633946,5418.518385970519,3925.996499628354,108.07809233500642
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd9,5420.62528218919,3785.9252886175263,5418.518385970519,3925.996499628354,104.36955413765887
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd10,5429.49542693461,3882.9236650738344,5418.518385970519,3925.996499628354,101.83657260554762
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd11,5395.27474037045,3859.629128269487,5418.518385970519,3925.996499628354,101.06156113081892
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd12,5413.717729272869,3788.8038769944574,5418.518385970519,3925.996499628354,98.61337879493306
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd13,5408.01064087542,3823.166413787557,5418.518385970519,3925.996499628354,109.26579343187672
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd14,5407.48259539281,3826.8018123677784,5418.518385970519,3925.996499628354,100.0971240460961
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd15,5421.588409014128,3810.374454070211,5418.518385970519,3925.996499628354,106.79361317052964
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd16,5431.215979500831,3889.8008471684698,5418.518385970519,3925.996499628354,112.63092657727815
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd17,5406.074039479587,3850.551610686393,5418.518385970519,3925.996499628354,98.26415019356719
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd18,5434.897943877128,3833.6470036111523,5418.518385970519,3925.996499628354,109.65743923039538
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd19,5431.066806368238,3822.1233986451807,5418.518385970519,3925.996499628354,116.88721184965728
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd20,5404.63127741887,3799.8735674428835,5418.518385970519,3925.996499628354,115.70582668919592
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd21,5407.637869727995,3771.7361636083233,5418.518385970519,3925.996499628354,108.10544242492617
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd22,5405.912496196097,3782.3580773600893,5418.518385970519,3925.996499628354,108.55868296817079
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd23,5405.823684250125,3856.2386823813076,5418.518385970519,3925.996499628354,103.99397490237746
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd0,5582.040436050066,4035.569118073621,5594.209570969774,4272.688213538411,244.83471394382562
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd1,5650.291883235861,4175.952019159208,5594.209570969774,4272.688213538411,249.53535169669365
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd2,5606.7741590407295,4125.318444368867,5594.209570969774,4272.688213538411,225.72209953464423
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd3,5577.800152194953,3978.9433858873163,5594.209570969774,4272.688213538411,240.64407639179356
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd4,5600.111514249631,4054.103877638568,5594.209570969774,4272.688213538411,246.12105011994802
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd5,5626.921074237947,4017.0906754193516,5594.209570969774,4272.688213538411,232.73980746408532
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd6,5572.218780754912,4035.250911911912,5594.209570969774,4272.688213538411,222.33343609464802
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd7,5575.52951301916,3946.285980600623,5594.209570969774,4272.688213538411,243.33089989220846
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd8,5622.867050104827,4098.652250174638,5594.209570969774,4272.688213538411,239.68113257175844
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd9,5555.9758194120395,4040.710111751791,5594.209570969774,4272.688213538411,234.18880705235878
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd10,5566.257422696175,4272.688213538411,5594.209570969774,4272.688213538411,227.8858439501725
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd11,5572.824530196982,4069.021391926942,5594.209570969774,4272.688213538411,227.75608274109118
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd12,5599.881489699224,3957.003695239726,5594.209570969774,4272.688213538411,221.57629769165018
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd13,5593.769505055931,4101.674096079972,5594.209570969774,4272.688213538411,240.07598284900013
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd14,5600.831399862092,4008.801343220539,5594.209570969774,4272.688213538411,225.2352161639696
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd15,5592.106004925317,4173.67702967351,5594.209570969774,4272.688213538411,237.80646137795605
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd16,5606.923898777081,4049.7732718602756,5594.209570969774,4272.688213538411,247.8080627724222
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd17,5586.31271452229,4133.978338801151,5594.209570969774,4272.688213538411,221.5012874951163
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd18,5607.178604875408,4054.203602207402,5594.209570969774,4272.688213538411,243.6428883341623
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd19,5607.293544737256,4095.1606325507587,5594.209570969774,4272.688213538411,257.5141295888541
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd20,5603.314190229015,4014.5033008687124,5594.209570969774,4272.688213538411,255.29049748647478
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd21,5577.5821367035205,3987.703235786028,5594.209570969774,4272.688213538411,239.82234752955077
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd22,5588.257517993021,4037.606809578827,5594.209570969774,4272.688213538411,240.1259990194834
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd23,5579.523172754615,4097.372189475963,5594.209570969774,4272.688213538411,231.2050917583806
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd0,5722.046104251091,4171.664522427047,5797.124454088836,4404.027888957108,459.3587378694916
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd1,5796.408598645912,4203.795974379281,5797.124454088836,4404.027888957108,466.4855668002843
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd2,5813.061710721843,4267.510350919836,5797.124454088836,4404.027888957108,429.05698949437993
