DLC,Lifetime Weighted DEL,AEP_mean_pwr_per_sd,AEP_max_pwr_per_sd,Variable,Seed-speed weighted DEL,Yaw-seed-speed weighted DEL,Seed-speed-yaw-nocc Weighted DEL,Yaw,Uref,Seed,DEL_individual,Max_individual,Seed weighted DEL,Seed weighted Max,Mean_power
1p2,,16373221.332130495,,,,,,,,,,,,,
1p2,,,17596047.97719999,,,,,,,,,,,,
1p2,,,,RootMxb1_[kN-m],,,19392.379573130926,,,,,,,,
1p2,,,,RootMxb1_[kN-m],,6555.9460331211285,19392.379573130926,,,,,,,,
1p2,,,,RootMxb1_[kN-m],6555.946033121126,,,0.0,,,,,,,
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd0,5704.367010171052,4428.768658653535,5695.991280625253,4648.6226676689685,205.2384771619595
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd1,5702.926831020166,4297.877227190022,5695.991280625253,4648.6226676689685,215.8998815145627
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd2,5709.375344936677,4401.483498172189,5695.991280625253,4648.6226676689685,164.4882444910286
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd3,5683.739635173791,4325.550626713565,5695.991280625253,4648.6226676689685,179.45105421265728
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd4,5735.981079816582,4353.088753006006,5695.991280625253,4648.6226676689685,204.5547571712754
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd5,5784.277424293166,4473.324830422307,5695.991280625253,4648.6226676689685,171.23298229994123
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd6,5696.514052404917,4518.955661295096,5695.991280625253,4648.6226676689685,175.16172246635722
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd7,5711.563231493206,4594.795861819067,5695.991280625253,4648.6226676689685,197.4535171784301
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd8,5747.594923203503,4372.59576097897,5695.991280625253,4648.6226676689685,192.7343928839291
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd9,5659.230468491831,4183.419827295644,5695.991280625253,4648.6226676689685,182.5931786261062
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd10,5601.556532134649,4159.80788432509,5695.991280625253,4648.6226676689685,187.91295840814018
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd11,5690.203130342315,4361.250185800419,5695.991280625253,4648.6226676689685,172.9407998919315
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd12,5616.8250239027375,4120.661068967179,5695.991280625253,4648.6226676689685,155.06943244229524
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd13,5683.4763870297165,4533.478095392453,5695.991280625253,4648.6226676689685,197.88994948543026
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd14,5590.213240348284,4076.205171728627,5695.991280625253,4648.6226676689685,168.31427191155313
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd15,5792.431178885314,4400.349344755722,5695.991280625253,4648.6226676689685,188.4361752901461
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd16,5748.059247547292,4635.190115027798,5695.991280625253,4648.6226676689685,196.89346998366915
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd17,5684.4053521715505,4313.510284852915,5695.991280625253,4648.6226676689685,152.0882134046092
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd18,5833.268893832109,4648.6226676689685,5695.991280625253,4648.6226676689685,194.23027566960474
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd19,5678.353541061484,4400.901370705249,5695.991280625253,4648.6226676689685,213.91827886851323
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd20,5717.938750178146,4418.833908353278,5695.991280625253,4648.6226676689685,204.98649160573916
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd21,5625.809442072066,4109.541979592088,5695.991280625253,4648.6226676689685,198.180765344261
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd22,5611.552121199585,4077.4282245844965,5695.991280625253,4648.6226676689685,189.65729572534184
1p2,,,,RootMxb1_[kN-m],,,,0.0,3.0,sd23,5622.813048496831,4412.555481223833,5695.991280625253,4648.6226676689685,176.03399938102896
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd0,5816.907727447333,4517.351734156528,5890.907030950849,4831.893957206118,371.9136458841907
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd1,5944.07638916804,4725.142406771038,5890.907030950849,4831.893957206118,388.78051247331774
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd2,5881.458806551043,4657.2090995788885,5890.907030950849,4831.893957206118,315.4096045604714
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd3,5887.705793633337,4420.313681283111,5890.907030950849,4831.893957206118,343.489960241151
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd4,5842.3133634168225,4528.707577686961,5890.907030950849,4831.893957206118,379.7625143068151
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd5,6051.579500623281,4785.799470177079,5890.907030950849,4831.893957206118,326.60840960740046
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd6,5846.83011590878,4733.813016281502,5890.907030950849,4831.893957206118,315.0260248474373
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd7,5909.397559829338,4556.93973373478,5890.907030950849,4831.893957206118,362.8040306638307
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd8,5968.325624138419,4633.775002232106,5890.907030950849,4831.893957206118,356.059917123536
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd9,5879.781168296742,4699.574929002894,5890.907030950849,4831.893957206118,341.3787557682353
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd10,5776.979176716337,4641.2679495162465,5890.907030950849,4831.893957206118,339.08971124952274
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd11,5872.107855590019,4721.357955093639,5890.907030950849,4831.893957206118,327.22041075427956
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd12,5782.931115511784,4283.9220315024595,5890.907030950849,4831.893957206118,297.62160831892265
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd13,5859.351244471549,4655.847535954277,5890.907030950849,4831.893957206118,352.45612684622307
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd14,5897.941184827209,4601.252944903095,5890.907030950849,4831.893957206118,318.7428727771518
