Variable,Uref,MaxIndividual_porVel,SeedWeightedDEL,SeedSpeedWeightedDEL
BldPitch1_[deg],4,7.86994951355842e-07,NaN,NaN
BldPitch1_[deg],5,7.86994951355842e-07,NaN,NaN
BldPitch1_[deg],6,0.0072139967576762,NaN,NaN
BldPitch1_[deg],7,0.214105705964978,NaN,NaN
BldPitch1_[deg],8,0.884365571730004,NaN,NaN
BldPitch1_[deg],9,2.28929506430478,NaN,NaN
BldPitch1_[deg],10,4.8382916925466,NaN,NaN
BldPitch1_[deg],11,7.52381619915726,NaN,NaN
BldPitch1_[deg],12,9.89096422407793,NaN,NaN
BldPitch1_[deg],13,11.9013145738446,NaN,NaN
BldPitch1_[deg],14,13.6462394418987,NaN,NaN
BldPitch1_[deg],15,15.2236872233653,NaN,NaN
BldPitch1_[deg],16,16.6812786693518,NaN,NaN
BldPitch1_[deg],17,18.0624162400843,NaN,NaN
BldPitch1_[deg],18,19.3778564929402,NaN,NaN
BldPitch1_[deg],19,20.6633244060261,NaN,NaN
BldPitch1_[deg],20,21.912422543504,NaN,NaN
BldPitch1_[deg],21,23.1184802690073,NaN,NaN
BldPitch1_[deg],22,24.3100361581606,NaN,NaN
BldPitch1_[deg],23,25.436225773461,NaN,NaN
BldPitch1_[deg],24,26.5119067484037,NaN,NaN
BldPitch1_[deg],25,27.5537722349366,NaN,NaN
GenPwr_[kW],4,288.532992876902,NaN,NaN
GenPwr_[kW],5,535.644533607136,NaN,NaN
GenPwr_[kW],6,898.87720696615,NaN,NaN
GenPwr_[kW],7,1393.93681861783,NaN,NaN
GenPwr_[kW],8,2038.41023859232,NaN,NaN
GenPwr_[kW],9,2701.68113568923,NaN,NaN
GenPwr_[kW],10,3126.24160678556,NaN,NaN
GenPwr_[kW],11,3288.92793464729,NaN,NaN
GenPwr_[kW],12,3352.68644616228,NaN,NaN
GenPwr_[kW],13,3371.7850750429,NaN,NaN
GenPwr_[kW],14,3377.41252739064,NaN,NaN
GenPwr_[kW],15,3379.65450650789,NaN,NaN
GenPwr_[kW],16,3379.97536405797,NaN,NaN
GenPwr_[kW],17,3380.11520404779,NaN,NaN
GenPwr_[kW],18,3380.91347284324,NaN,NaN
GenPwr_[kW],19,3379.68471640603,NaN,NaN
GenPwr_[kW],20,3378.95389207526,NaN,NaN
GenPwr_[kW],21,3378.25070703743,NaN,NaN
GenPwr_[kW],22,3380.16886232814,NaN,NaN
GenPwr_[kW],23,3384.94358881947,NaN,NaN
GenPwr_[kW],24,3390.14937216698,NaN,NaN
GenPwr_[kW],25,3394.77953950998,NaN,NaN
GenSpeed_[rpm],4,470.390975160978,NaN,NaN
GenSpeed_[rpm],5,579.544526349367,NaN,NaN
GenSpeed_[rpm],6,692.281677690052,NaN,NaN
GenSpeed_[rpm],7,805.186055993844,NaN,NaN
GenSpeed_[rpm],8,918.054270578698,NaN,NaN
GenSpeed_[rpm],9,1025.89149226934,NaN,NaN
GenSpeed_[rpm],10,1095.65555702237,NaN,NaN
GenSpeed_[rpm],11,1128.28428522078,NaN,NaN
GenSpeed_[rpm],12,1132.72319770166,NaN,NaN
GenSpeed_[rpm],13,1134.4018219007,NaN,NaN
GenSpeed_[rpm],14,1134.25645635402,NaN,NaN
GenSpeed_[rpm],15,1134.09188743909,NaN,NaN
GenSpeed_[rpm],16,1133.74565272603,NaN,NaN
GenSpeed_[rpm],17,1133.37587048725,NaN,NaN
GenSpeed_[rpm],18,1132.9941268774,NaN,NaN
GenSpeed_[rpm],19,1132.34702426552,NaN,NaN
GenSpeed_[rpm],20,1131.81742197145,NaN,NaN
GenSpeed_[rpm],21,1131.50321527376,NaN,NaN
GenSpeed_[rpm],22,1132.01112391949,NaN,NaN
GenSpeed_[rpm],23,1133.57165503819,NaN,NaN
GenSpeed_[rpm],24,1135.28557152124,NaN,NaN
GenSpeed_[rpm],25,1136.78871562214,NaN,NaN
GenTq_[kN-m],4,5.48696232163744,NaN,NaN
GenTq_[kN-m],5,8.37670960654022,NaN,NaN
GenTq_[kN-m],6,11.9271811586225,NaN,NaN
GenTq_[kN-m],7,16.0958021296857,NaN,NaN
GenTq_[kN-m],8,20.8834996196585,NaN,NaN
GenTq_[kN-m],9,25.0685394063326,NaN,NaN
GenTq_[kN-m],10,27.6463737612585,NaN,NaN
GenTq_[kN-m],11,28.4833472179461,NaN,NaN
GenTq_[kN-m],12,28.819562544389,NaN,NaN
GenTq_[kN-m],13,28.9820672163393,NaN,NaN
GenTq_[kN-m],14,29.036437488159,NaN,NaN
GenTq_[kN-m],15,29.0593899649752,NaN,NaN
GenTq_[kN-m],16,29.0729899256848,NaN,NaN
GenTq_[kN-m],17,29.0750274965092,NaN,NaN
GenTq_[kN-m],18,29.075201976537,NaN,NaN
GenTq_[kN-m],19,29.0752041076609,NaN,NaN
GenTq_[kN-m],20,29.0752041076609,NaN,NaN
GenTq_[kN-m],21,29.0752041076609,NaN,NaN
GenTq_[kN-m],22,29.0752041076609,NaN,NaN
GenTq_[kN-m],23,29.0752041076609,NaN,NaN
GenTq_[kN-m],24,29.0752041076609,NaN,NaN
GenTq_[kN-m],25,29.0752041076609,NaN,NaN
LSSGagMya_[kN-m],4,1650.00683088664,924.23196174046,2832.82187560698
LSSGagMya_[kN-m],5,2084.80156592201,1196.46239551354,2832.82187560698
LSSGagMya_[kN-m],6,2825.0708911172,1528.61633861537,2832.82187560698
LSSGagMya_[kN-m],7,3576.06819586042,1901.76133463725,2832.82187560698
LSSGagMya_[kN-m],8,4436.44244638805,2334.19732560665,2832.82187560698
LSSGagMya_[kN-m],9,5469.53015880622,2811.38502201273,2832.82187560698
LSSGagMya_[kN-m],10,5549.68088035024,3249.42658630967,2832.82187560698
LSSGagMya_[kN-m],11,5904.86015273726,3601.34690601599,2832.82187560698
LSSGagMya_[kN-m],12,6529.76640187002,3873.16552381209,2832.82187560698
LSSGagMya_[kN-m],13,7015.69636794415,4119.42298396119,2832.82187560698
LSSGagMya_[kN-m],14,7482.51376505216,4350.6557200827,2832.82187560698
LSSGagMya_[kN-m],15,7886.3456036739,4571.88193166495,2832.82187560698
LSSGagMya_[kN-m],16,8198.50155778444,4816.25973756358,2832.82187560698
LSSGagMya_[kN-m],17,8351.838765768,5034.92504534921,2832.82187560698
LSSGagMya_[kN-m],18,8926.26641876243,5260.8895205517,2832.82187560698
LSSGagMya_[kN-m],19,9375.41494730034,5479.7791398219,2832.82187560698
LSSGagMya_[kN-m],20,10343.6971005497,5684.20390563619,2832.82187560698
LSSGagMya_[kN-m],21,10927.0405479916,5873.85898525977,2832.82187560698
LSSGagMya_[kN-m],22,11773.0266872599,6044.84118707979,2832.82187560698
LSSGagMya_[kN-m],23,12142.6869522782,6216.72058246343,2832.82187560698
LSSGagMya_[kN-m],24,12502.8766651334,6374.19995257805,2832.82187560698
LSSGagMya_[kN-m],25,13025.3473071898,6534.64855495163,2832.82187560698
LSSGagMza_[kN-m],4,1873.6543222776,920.895949853526,2834.69275086811
LSSGagMza_[kN-m],5,2417.09241661471,1201.93499404103,2834.69275086811
LSSGagMza_[kN-m],6,2919.04797458996,1536.67008440829,2834.69275086811
LSSGagMza_[kN-m],7,3332.24384973057,1905.71519727967,2834.69275086811
LSSGagMza_[kN-m],8,4188.49680545828,2337.74447157901,2834.69275086811
LSSGagMza_[kN-m],9,5687.98905611029,2811.1113528927,2834.69275086811
LSSGagMza_[kN-m],10,5799.37093428851,3255.71520865941,2834.69275086811
LSSGagMza_[kN-m],11,6882.10764926462,3599.31262708746,2834.69275086811
LSSGagMza_[kN-m],12,7097.89331589644,3879.45931956036,2834.69275086811
LSSGagMza_[kN-m],13,7715.013449052,4117.0137275068,2834.69275086811
LSSGagMza_[kN-m],14,8076.56672131783,4348.5987069893,2834.69275086811
LSSGagMza_[kN-m],15,8355.81729033664,4575.05187389155,2834.69275086811
LSSGagMza_[kN-m],16,8667.9250619513,4817.15628853898,2834.69275086811
LSSGagMza_[kN-m],17,8696.83225285326,5054.60829993722,2834.69275086811
LSSGagMza_[kN-m],18,8800.69693971658,5260.01682411811,2834.69275086811
LSSGagMza_[kN-m],19,9039.63522484337,5474.70948861783,2834.69275086811
LSSGagMza_[kN-m],20,9133.95222133161,5678.19017498012,2834.69275086811
LSSGagMza_[kN-m],21,9825.09980755136,5869.25719570275,2834.69275086811
LSSGagMza_[kN-m],22,9549.47071668784,6051.55869551347,2834.69275086811
LSSGagMza_[kN-m],23,10129.7075366421,6231.62745201971,2834.69275086811
LSSGagMza_[kN-m],24,10536.2623842036,6393.0152042348,2834.69275086811
LSSGagMza_[kN-m],25,10888.8765398779,6542.55513704888,2834.69275086811
RootMxb1_[kN-m],4,3285.53486768608,4198.27792968239,4647.50123899748
RootMxb1_[kN-m],5,3544.32447744932,4338.06314815791,4647.50123899748
RootMxb1_[kN-m],6,3797.45851848058,4485.48659976534,4647.50123899748
RootMxb1_[kN-m],7,4029.34050469861,4622.18554789862,4647.50123899748
RootMxb1_[kN-m],8,4138.95649527901,4726.24761339829,4647.50123899748
RootMxb1_[kN-m],9,4230.18775093152,4804.31704866887,4647.50123899748
RootMxb1_[kN-m],10,4307.58125980402,4822.84466720599,4647.50123899748
RootMxb1_[kN-m],11,4193.26435906999,4795.15695792422,4647.50123899748
RootMxb1_[kN-m],12,4025.37045714457,4762.44372479216,4647.50123899748
RootMxb1_[kN-m],13,4001.96016501765,4728.24238266194,4647.50123899748
RootMxb1_[kN-m],14,3761.27735532884,4711.69705817427,4647.50123899748
RootMxb1_[kN-m],15,3552.78698462863,4712.60880489662,4647.50123899748
RootMxb1_[kN-m],16,3591.29412992503,4714.84473723965,4647.50123899748
RootMxb1_[kN-m],17,3656.73025646573,4725.5883336529,4647.50123899748
RootMxb1_[kN-m],18,3614.40081493343,4734.98751710858,4647.50123899748
RootMxb1_[kN-m],19,3737.95841436222,4747.29527607885,4647.50123899748
RootMxb1_[kN-m],20,3851.00306415307,4762.44007561556,4647.50123899748
RootMxb1_[kN-m],21,4023.76110093966,4782.67659857358,4647.50123899748
RootMxb1_[kN-m],22,4076.08822483613,4815.67328305182,4647.50123899748
RootMxb1_[kN-m],23,3976.62677656386,4847.51259070276,4647.50123899748
RootMxb1_[kN-m],24,4046.20590432081,4878.33803276383,4647.50123899748
RootMxb1_[kN-m],25,4087.03687848372,4915.98639279479,4647.50123899748
RootMyb1_[kN-m],4,5070.81263529672,1940.80112177897,4870.45249441391
RootMyb1_[kN-m],5,6901.58394550857,2647.59141435738,4870.45249441391
RootMyb1_[kN-m],6,9213.43742769916,3427.37777819347,4870.45249441391
RootMyb1_[kN-m],7,9572.56912359849,3957.28123578354,4870.45249441391
RootMyb1_[kN-m],8,10403.1409943742,4209.24042906052,4870.45249441391
RootMyb1_[kN-m],9,10895.4846928708,4327.94774749734,4870.45249441391
RootMyb1_[kN-m],10,11511.2156273657,4784.4556400092,4870.45249441391
RootMyb1_[kN-m],11,11074.3552784371,5301.45924215094,4870.45249441391
RootMyb1_[kN-m],12,11229.6404527431,5651.10539507123,4870.45249441391
RootMyb1_[kN-m],13,11249.2861410091,5845.69934766428,4870.45249441391
RootMyb1_[kN-m],14,10672.1250745569,6052.30527215147,4870.45249441391
RootMyb1_[kN-m],15,9857.44171972785,6308.76192930726,4870.45249441391
RootMyb1_[kN-m],16,10269.8207881319,6592.55353552925,4870.45249441391
RootMyb1_[kN-m],17,9891.09119957623,6824.78286913413,4870.45249441391
RootMyb1_[kN-m],18,10023.300838928,7054.26246727683,4870.45249441391
RootMyb1_[kN-m],19,10279.7719789791,7279.14761092662,4870.45249441391
RootMyb1_[kN-m],20,10369.7429435818,7475.81802492142,4870.45249441391
RootMyb1_[kN-m],21,10343.9371428323,7708.15458254315,4870.45249441391
RootMyb1_[kN-m],22,10880.4518870502,7929.55067158676,4870.45249441391
RootMyb1_[kN-m],23,11275.9058366572,8147.66249320496,4870.45249441391
RootMyb1_[kN-m],24,11422.2858174574,8348.50377955576,4870.45249441391
RootMyb1_[kN-m],25,11724.4506607359,8555.77762161355,4870.45249441391
RotSpeed_[rpm],4,4.84940067683624,NaN,NaN
RotSpeed_[rpm],5,5.97469456249144,NaN,NaN
RotSpeed_[rpm],6,7.13693787261267,NaN,NaN
RotSpeed_[rpm],7,8.3009077439547,NaN,NaN
RotSpeed_[rpm],8,9.46450959953088,NaN,NaN
RotSpeed_[rpm],9,10.576249662232,NaN,NaN
RotSpeed_[rpm],10,11.2954782034801,NaN,NaN
RotSpeed_[rpm],11,11.6317935023198,NaN,NaN
RotSpeed_[rpm],12,11.6775361185832,NaN,NaN
RotSpeed_[rpm],13,11.6948490376068,NaN,NaN
RotSpeed_[rpm],14,11.6933440631545,NaN,NaN
RotSpeed_[rpm],15,11.6916236042127,NaN,NaN
RotSpeed_[rpm],16,11.6880673311062,NaN,NaN
RotSpeed_[rpm],17,11.6842935222798,NaN,NaN
RotSpeed_[rpm],18,11.6803388895592,NaN,NaN
RotSpeed_[rpm],19,11.6736384063548,NaN,NaN
RotSpeed_[rpm],20,11.6682259432645,NaN,NaN
RotSpeed_[rpm],21,11.6649259599656,NaN,NaN
RotSpeed_[rpm],22,11.6702025979828,NaN,NaN
RotSpeed_[rpm],23,11.6863642323551,NaN,NaN
RotSpeed_[rpm],24,11.7039504804751,NaN,NaN
RotSpeed_[rpm],25,11.7193594788076,NaN,NaN
RotTorq_[kN-m],4,1422.4429321603,201.007400301288,490.735526050682
RotTorq_[kN-m],5,2054.29867587876,275.051657206814,490.735526050682
RotTorq_[kN-m],6,2751.57367262632,380.115503468294,490.735526050682
RotTorq_[kN-m],7,3200.41956524042,487.884830447563,490.735526050682
RotTorq_[kN-m],8,3403.5671192049,544.474282083044,490.735526050682
RotTorq_[kN-m],9,3574.17914639773,534.425615678488,490.735526050682
RotTorq_[kN-m],10,3586.11996788802,490.17217723367,490.735526050682
RotTorq_[kN-m],11,3647.76331472275,481.083689484583,490.735526050682
RotTorq_[kN-m],12,3730.73191378591,526.039236722857,490.735526050682
