Variable,Uref,MaxIndividual_porVel
BldPitch1_[deg],4,7.86994951355842e-07
BldPitch1_[deg],5,7.86994951355842e-07
BldPitch1_[deg],6,0.0072139967576762
BldPitch1_[deg],7,0.214105705964978
BldPitch1_[deg],8,0.884365571730004
BldPitch1_[deg],9,2.28929506430478
BldPitch1_[deg],10,4.8382916925466
BldPitch1_[deg],11,7.52381619915726
BldPitch1_[deg],12,9.89096422407793
BldPitch1_[deg],13,11.9013145738446
BldPitch1_[deg],14,13.6462394418987
BldPitch1_[deg],15,15.2236872233653
BldPitch1_[deg],16,16.6812786693518
BldPitch1_[deg],17,18.0624162400843
BldPitch1_[deg],18,19.3778564929402
BldPitch1_[deg],19,20.6633244060261
BldPitch1_[deg],20,21.912422543504
BldPitch1_[deg],21,23.1184802690073
BldPitch1_[deg],22,24.3100361581606
BldPitch1_[deg],23,25.436225773461
BldPitch1_[deg],24,26.5119067484037
BldPitch1_[deg],25,27.5537722349366
GenPwr_[kW],4,288.532992876902
GenPwr_[kW],5,535.644533607136
GenPwr_[kW],6,898.87720696615
GenPwr_[kW],7,1393.93681861783
GenPwr_[kW],8,2038.41023859232
GenPwr_[kW],9,2701.68113568923
GenPwr_[kW],10,3126.24160678556
GenPwr_[kW],11,3288.92793464729
GenPwr_[kW],12,3352.68644616228
GenPwr_[kW],13,3371.7850750429
GenPwr_[kW],14,3377.41252739064
GenPwr_[kW],15,3379.65450650789
GenPwr_[kW],16,3379.97536405797
GenPwr_[kW],17,3380.11520404779
GenPwr_[kW],18,3380.91347284324
GenPwr_[kW],19,3379.68471640603
GenPwr_[kW],20,3378.95389207526
GenPwr_[kW],21,3378.25070703743
GenPwr_[kW],22,3380.16886232814
GenPwr_[kW],23,3384.94358881947
GenPwr_[kW],24,3390.14937216698
GenPwr_[kW],25,3394.77953950998
GenSpeed_[rpm],4,470.390975160978
GenSpeed_[rpm],5,579.544526349367
GenSpeed_[rpm],6,692.281677690052
GenSpeed_[rpm],7,805.186055993844
GenSpeed_[rpm],8,918.054270578698
GenSpeed_[rpm],9,1025.89149226934
GenSpeed_[rpm],10,1095.65555702237
GenSpeed_[rpm],11,1128.28428522078
GenSpeed_[rpm],12,1132.72319770166
GenSpeed_[rpm],13,1134.4018219007
GenSpeed_[rpm],14,1134.25645635402
GenSpeed_[rpm],15,1134.09188743909
GenSpeed_[rpm],16,1133.74565272603
GenSpeed_[rpm],17,1133.37587048725
GenSpeed_[rpm],18,1132.9941268774
GenSpeed_[rpm],19,1132.34702426552
GenSpeed_[rpm],20,1131.81742197145
GenSpeed_[rpm],21,1131.50321527376
GenSpeed_[rpm],22,1132.01112391949
GenSpeed_[rpm],23,1133.57165503819
GenSpeed_[rpm],24,1135.28557152124
GenSpeed_[rpm],25,1136.78871562214
GenTq_[kN-m],4,5.48696232163744
GenTq_[kN-m],5,8.37670960654022
GenTq_[kN-m],6,11.9271811586225
GenTq_[kN-m],7,16.0958021296857
GenTq_[kN-m],8,20.8834996196585
GenTq_[kN-m],9,25.0685394063326
GenTq_[kN-m],10,27.6463737612585
GenTq_[kN-m],11,28.4833472179461
GenTq_[kN-m],12,28.819562544389
GenTq_[kN-m],13,28.9820672163393
GenTq_[kN-m],14,29.036437488159
GenTq_[kN-m],15,29.0593899649752
GenTq_[kN-m],16,29.0729899256848
GenTq_[kN-m],17,29.0750274965092
GenTq_[kN-m],18,29.075201976537
GenTq_[kN-m],19,29.0752041076609
GenTq_[kN-m],20,29.0752041076609
GenTq_[kN-m],21,29.0752041076609
GenTq_[kN-m],22,29.0752041076609
GenTq_[kN-m],23,29.0752041076609
GenTq_[kN-m],24,29.0752041076609
GenTq_[kN-m],25,29.0752041076609
LSSGagMya_[kN-m],4,1650.00683088664
