DLC,Lifetime Weighted DEL,AEP_mean_pwr_per_sd,AEP_max_pwr_per_sd,Variable,Seed-speed weighted DEL,Seed-speed-yaw-nocc Weighted DEL,Yaw,Uref,Seed,DEL_individual,Max_individual,Seed weighted DEL,Seed weighted Max,Mean_power
1p2,,15634098.815518552,,,,,,,,,,,,
1p2,,,16290349.020783642,,,,,,,,,,,
1p2,,,,RootMxb1_[kN-m],,13747.231541857067,,,,,,,,
1p2,,,,RootMxb1_[kN-m],4647.501238997483,,0.0,,,,,,,
1p2,,,,RootMxb1_[kN-m],,,0.0,4.0,sd0,4201.69796652766,3115.175796083787,4198.277929682386,3157.3610298901804,266.4988090204271
1p2,,,,RootMxb1_[kN-m],,,0.0,4.0,sd1,4218.300712352876,3196.3722528365074,4198.277929682386,3157.3610298901804,276.4083791145603
1p2,,,,RootMxb1_[kN-m],,,0.0,4.0,sd2,4182.140425733184,3108.162180806881,4198.277929682386,3157.3610298901804,244.48940208714222
1p2,,,,RootMxb1_[kN-m],,,0.0,4.0,sd3,4215.316362466974,3125.2238732932938,4198.277929682386,3157.3610298901804,280.84974908623684
1p2,,,,RootMxb1_[kN-m],,,0.0,4.0,sd4,4191.151883168052,3200.4887937258245,4198.277929682386,3157.3610298901804,288.53299287690237
1p2,,,,RootMxb1_[kN-m],,,0.0,4.0,sd5,4221.831643429148,3119.5281360105696,4198.277929682386,3157.3610298901804,258.445229801723
1p2,,,,RootMxb1_[kN-m],,,0.0,4.0,sd6,4167.559154542818,3148.839641354309,4198.277929682386,3157.3610298901804,225.77195790257542
1p2,,,,RootMxb1_[kN-m],,,0.0,4.0,sd7,4203.528693675068,3112.505864342915,4198.277929682386,3157.3610298901804,257.2418216823175
1p2,,,,RootMxb1_[kN-m],,,0.0,4.0,sd8,4202.706446009141,3262.6065244541696,4198.277929682386,3157.3610298901804,272.6751709484357
1p2,,,,RootMxb1_[kN-m],,,0.0,4.0,sd9,4215.088629358209,3260.678266288179,4198.277929682386,3157.3610298901804,280.7153031284673
1p2,,,,RootMxb1_[kN-m],,,0.0,4.0,sd10,4187.241309041188,3188.0948150340137,4198.277929682386,3157.3610298901804,244.58128566554814
1p2,,,,RootMxb1_[kN-m],,,0.0,4.0,sd11,4190.443227972222,3091.117778612675,4198.277929682386,3157.3610298901804,261.0279734809262
1p2,,,,RootMxb1_[kN-m],,,0.0,4.0,sd12,4176.326041417838,3082.099011703924,4198.277929682386,3157.3610298901804,242.7776435108494
1p2,,,,RootMxb1_[kN-m],,,0.0,4.0,sd13,4173.759163080181,3001.7005459129214,4198.277929682386,3157.3610298901804,229.34561314798069
1p2,,,,RootMxb1_[kN-m],,,0.0,4.0,sd14,4190.091731667843,3099.615625594919,4198.277929682386,3157.3610298901804,249.0692841661323
1p2,,,,RootMxb1_[kN-m],,,0.0,4.0,sd15,4206.395664484754,3204.899787437755,4198.277929682386,3157.3610298901804,272.6300057714443
1p2,,,,RootMxb1_[kN-m],,,0.0,4.0,sd16,4204.354709463612,3285.5348676860767,4198.277929682386,3157.3610298901804,269.69169759985806
1p2,,,,RootMxb1_[kN-m],,,0.0,4.0,sd17,4182.288362650634,3003.832706722345,4198.277929682386,3157.3610298901804,243.11294951769023
1p2,,,,RootMxb1_[kN-m],,,0.0,4.0,sd18,4224.342351542991,3234.982929897562,4198.277929682386,3157.3610298901804,256.8998620256325
1p2,,,,RootMxb1_[kN-m],,,0.0,4.0,sd19,4198.82891951434,3170.5115329298055,4198.277929682386,3157.3610298901804,282.7303137128249
1p2,,,,RootMxb1_[kN-m],,,0.0,4.0,sd20,4197.058269479899,3153.903304386514,4198.277929682386,3157.3610298901804,267.1681068047183
1p2,,,,RootMxb1_[kN-m],,,0.0,4.0,sd21,4198.264286350137,3183.4383577154977,4198.277929682386,3157.3610298901804,259.19155748395696
1p2,,,,RootMxb1_[kN-m],,,0.0,4.0,sd22,4208.061447213845,3253.1970668035415,4198.277929682386,3157.3610298901804,282.46181689807946
1p2,,,,RootMxb1_[kN-m],,,0.0,4.0,sd23,4196.2050366090525,3174.1550577303465,4198.277929682386,3157.3610298901804,237.988609760887
1p2,,,,RootMxb1_[kN-m],,,0.0,5.0,sd0,4366.947050242409,3312.1612044386534,4338.06314815791,3376.5303230270133,510.8394748886909
1p2,,,,RootMxb1_[kN-m],,,0.0,5.0,sd1,4347.579386589692,3346.069574356072,4338.06314815791,3376.5303230270133,525.1346507077072
1p2,,,,RootMxb1_[kN-m],,,0.0,5.0,sd2,4322.844508630113,3364.3798630555357,4338.06314815791,3376.5303230270133,469.82336888787205
1p2,,,,RootMxb1_[kN-m],,,0.0,5.0,sd3,4325.155552980598,3293.7602474610635,4338.06314815791,3376.5303230270133,526.2798223101331
1p2,,,,RootMxb1_[kN-m],,,0.0,5.0,sd4,4336.6640037104435,3489.4212887067883,4338.06314815791,3376.5303230270133,535.6445336071358
1p2,,,,RootMxb1_[kN-m],,,0.0,5.0,sd5,4365.260045070295,3484.136677830688,4338.06314815791,3376.5303230270133,500.9464248536388
