DLC,Lifetime Weighted DEL,AEP_mean_pwr_per_sd,AEP_max_pwr_per_sd,Variable,Seed-speed weighted DEL,Yaw-seed-speed weighted DEL,Seed-speed-yaw-nocc Weighted DEL,Yaw,Uref,Seed,DEL_individual,Max_individual,Seed weighted DEL,Seed weighted Max,Mean_power
1p2,,15666475.739540085,,,,,,,,,,,,,
1p2,,,16352777.715504298,,,,,,,,,,,,
1p2,,,,RootMxb1_[kN-m],,,13740.766837394955,,,,,,,,
1p2,,,,RootMxb1_[kN-m],,4645.315728270766,13740.766837394955,,,,,,,,
1p2,,,,RootMxb1_[kN-m],4645.315728270764,,,0.0,,,,,,,
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd0,4198.725523367672,3115.3673660361123,4188.073637226045,3338.2255609394856,262.75786455393524
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd1,4196.986773107446,3202.38455336118,4188.073637226045,3338.2255609394856,271.1810929904834
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd2,4174.046326091292,3070.332882716013,4188.073637226045,3338.2255609394856,241.94623286677594
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd3,4190.591942598004,3057.740797353224,4188.073637226045,3338.2255609394856,277.0328256523048
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd4,4176.47187462163,3156.6289628175673,4188.073637226045,3338.2255609394856,286.77251780421994
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd5,4203.258557909524,3113.0134662708774,4188.073637226045,3338.2255609394856,254.4121574470532
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd6,4158.28699994329,3152.9889924355402,4188.073637226045,3338.2255609394856,222.4540889812405
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd7,4208.100830213891,3048.3935018436637,4188.073637226045,3338.2255609394856,253.9480887652156
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd8,4198.351332509875,3280.637418128397,4188.073637226045,3338.2255609394856,269.1321106618872
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd9,4191.772456920571,3276.0268099307536,4188.073637226045,3338.2255609394856,278.7067585762418
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd10,4179.162544080775,3203.1432769991557,4188.073637226045,3338.2255609394856,242.5646371152799
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd11,4183.119742111899,3156.2219214205875,4188.073637226045,3338.2255609394856,256.58612637753595
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd12,4167.456956340225,3049.510610280944,4188.073637226045,3338.2255609394856,238.01126174880383
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd13,4172.0263655586095,3014.7911578297017,4188.073637226045,3338.2255609394856,226.58095337434614
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd14,4179.920909977057,3053.302822940617,4188.073637226045,3338.2255609394856,245.8779170995734
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd15,4191.284234555352,3120.096381285639,4188.073637226045,3338.2255609394856,269.00253079756806
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd16,4198.941643958586,3338.2255609394856,4188.073637226045,3338.2255609394856,266.57377763343015
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd17,4182.735262950178,3037.815334082042,4188.073637226045,3338.2255609394856,241.92136214853141
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd18,4205.392239884968,3198.02261111042,4188.073637226045,3338.2255609394856,254.1154649061787
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd19,4187.160637816286,3146.574793498299,4188.073637226045,3338.2255609394856,279.12424306124893
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd20,4189.302628311777,3113.670116481814,4188.073637226045,3338.2255609394856,263.22543298250906
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd21,4189.458511268794,3171.8120795314726,4188.073637226045,3338.2255609394856,256.69160326338846
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd22,4201.547893988377,3242.148027149528,4188.073637226045,3338.2255609394856,280.9287529071027
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd23,4185.736180804966,3130.8754073621308,4188.073637226045,3338.2255609394856,235.5133396665282
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd0,4361.693266593396,3321.279147439163,4331.029562486754,3603.398286267167,502.7739659211051
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd1,4325.093682425499,3361.065755528933,4331.029562486754,3603.398286267167,518.4191593932977
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd2,4326.222043615881,3331.9791700892442,4331.029562486754,3603.398286267167,466.9383088136874
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd3,4313.951301512495,3225.772587043133,4331.029562486754,3603.398286267167,521.5304405561196
